o,1434358868581
k,1434358868639
!,1434358869228
*SPACE*,1434358869577
l,1434358869802
e,1434358869944
t,1434358870009
s,1434358870229
*SPACE*,1434358870351
g,1434358870444
e,1434358870572
t,1434358870625
*SPACE*,1434358870716
s,1434358870835
t,1434358871064
a,1434358871233
r,1434358871291
t,1434358871441
e,1434358871511
d,1434358871713
.,1434358871841
*SPACE*,1434358871949
d,1434358872632
o,1434358872727
*SPACE*,1434358872829
w,1434358873033
e,1434358873098
*SPACE*,1434358873197
n,1434358873387
e,1434358873465
e,1434358873610
d,1434358873782
*SPACE*,1434358873865
t,1434358874065
h,1434358874586
e,1434358874741
w,1434358875189
o,1434358875291
o,1434358875436
*BS*,1434358875904
*BS*,1434358875986
*BS*,1434358876061
*BS*,1434358876149
*BS*,1434358876447
*BS*,1434358876530
*SPACE*,1434358876814
s,1434358876908
t,1434358877105
e,1434358877200
e,1434358877379
l,1434358877473
*SPACE*,1434358877646
w,1434358877700
o,1434358877835
o,1434358877983
l,1434358878191
?,1434358878546
*ENTER*,1434358879100
I,1434358924358
*SPACE*,1434358924498
d,1434358924681
*BS*,1434358925133
*BS*,1434358925259
t,1434358925355
h,1434358925421
i,1434358925464
n,1434358925547
k,1434358925681
*SPACE*,1434358925803
I,1434358926011
*SPACE*,1434358926108
p,1434358926297
u,1434358926403
t,1434358926647
*SPACE*,1434358926906
t,1434358927398
h,1434358927529
a,1434358927545
t,1434358927681
*SPACE*,1434358927792
w,1434358927877
e,1434358927953
*SPACE*,1434358928040
s,1434358929097
h,1434358929202
o,1434358929346
u,1434358929442
l,1434358929544
d,1434358929613
n,1434358929795
t,1434358929918
*SPACE*,1434358929978
t,1434358930122
a,1434358930268
k,1434358930321
e,1434358930485
*SPACE*,1434358930581
i,1434358930639
t,1434358930747
*SPACE*,1434358930865
a,1434358930983
s,1434358931052
*SPACE*,1434358931171
I,1434358931361
*SPACE*,1434358931442
c,1434358931532
a,1434358931600
n,1434358931675
t,1434358931832
